timestamp,price
2026-05-24T23:00:00,118.75
2026-05-25T00:00:00,112.97
2026-05-25T01:00:00,109.57
2026-05-25T02:00:00,106.70
2026-05-25T03:00:00,104.02
2026-05-25T04:00:00,100.83
2026-05-25T05:00:00,104.81
2026-05-25T06:00:00,117.59
2026-05-25T07:00:00,115.98
2026-05-25T08:00:00,106.37
2026-05-25T09:00:00,99.40
2026-05-25T10:00:00,97.13
2026-05-25T11:00:00,87.35
2026-05-25T12:00:00,80.01
2026-05-25T13:00:00,75.92
2026-05-25T14:00:00,75.00
2026-05-25T15:00:00,74.97
2026-05-25T16:00:00,91.65
2026-05-25T17:00:00,110.85
2026-05-25T18:00:00,123.44
2026-05-25T19:00:00,130.48
2026-05-25T20:00:00,130.01
2026-05-25T21:00:00,128.17
2026-05-25T22:00:00,114.73
