timestamp,price
2026-05-24T23:00:00,6.00
2026-05-25T00:00:00,6.00
2026-05-25T01:00:00,6.00
2026-05-25T02:00:00,6.00
2026-05-25T03:00:00,10.00
2026-05-25T04:00:00,10.00
2026-05-25T05:00:00,10.00
2026-05-25T06:00:00,10.00
2026-05-25T07:00:00,12.00
2026-05-25T08:00:00,12.00
2026-05-25T09:00:00,12.00
2026-05-25T10:00:00,12.00
2026-05-25T11:00:00,8.00
2026-05-25T12:00:00,8.00
2026-05-25T13:00:00,8.00
2026-05-25T14:00:00,8.00
2026-05-25T15:00:00,5.00
2026-05-25T16:00:00,5.00
2026-05-25T17:00:00,5.00
2026-05-25T18:00:00,5.00
2026-05-25T19:00:00,9.00
2026-05-25T20:00:00,9.00
2026-05-25T21:00:00,9.00
2026-05-25T22:00:00,9.00
